,Unnamed: 0,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,train_time,train_time_per_sample,train_start_time,train_end_time,train_device,predict_time,predict_time_per_sample,predict_start_time,predict_end_time,predict_device,accuracy,log_loss,predictions,exception,data._target_,data.generate.name,data.generate.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.art._target_,model.art.initialize.nb_classes,model.art.library,model.data._target_,model.data.generate.name,model.data.generate.target,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.init._target_,model.init.compressor,model.init.distance_matrix,model.init.k,model.init.m,model.init.method,model.init.metric,model.init.name,model.init.symmetric,model.init.precompute,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
168,cf2901cd86107fb0472b6a2aa6217d1e,train,deckard.base.experiment.Experiment,cf2901cd86107fb0472b6a2aa6217d1e,sms_spam,cpu,cf2901cd86107fb0472b6a2aa6217d1e,cf2901cd86107fb0472b6a2aa6217d1e,GzipClassifier,cf2901cd86107fb0472b6a2aa6217d1e,cf2901cd86107fb0472b6a2aa6217d1e,158.685036647,0.158685036647,1708478000.8163474,1708478155.9992237,cpu,10.776721062,0.010776721062,1708478155.9993274,1708478166.2175713,cpu,0.7,10.361632919311525,sms_spam/reports/train/cf2901cd86107fb0472b6a2aa6217d1e/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.files.FileConfig,sms_spam,cf2901cd86107fb0472b6a2aa6217d1e,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,3,20,Medoid,Jaro,gzip_classifier.GzipClassifier,False,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
171,d23d533c3e61c997b55dd4ad04579121,train,deckard.base.experiment.Experiment,d23d533c3e61c997b55dd4ad04579121,sms_spam,cpu,d23d533c3e61c997b55dd4ad04579121,d23d533c3e61c997b55dd4ad04579121,GzipClassifier,d23d533c3e61c997b55dd4ad04579121,d23d533c3e61c997b55dd4ad04579121,158.282427158,0.158282427158,1708478117.648306,1708478269.199616,cpu,34.564078132,0.034564078132,1708478269.1997566,1708478301.317124,cpu,0.92,2.7631021118164063,sms_spam/reports/train/d23d533c3e61c997b55dd4ad04579121/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.files.FileConfig,sms_spam,d23d533c3e61c997b55dd4ad04579121,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,5,200,Random,Hamming,gzip_classifier.GzipClassifier,False,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
172,d284756a60bf4d4b1b5d96f965d370ff,train,deckard.base.experiment.Experiment,d284756a60bf4d4b1b5d96f965d370ff,sms_spam,cpu,d284756a60bf4d4b1b5d96f965d370ff,d284756a60bf4d4b1b5d96f965d370ff,GzipClassifier,d284756a60bf4d4b1b5d96f965d370ff,d284756a60bf4d4b1b5d96f965d370ff,107.908745525,0.107908745525,1708478000.9590716,1708478102.2672942,cpu,8.527779427,0.008527779427,1708478102.2676756,1708478115.1559577,cpu,0.13,30.048735466003414,sms_spam/reports/train/d284756a60bf4d4b1b5d96f965d370ff/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.files.FileConfig,sms_spam,d284756a60bf4d4b1b5d96f965d370ff,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,5,10,SVC,Levenshtein,gzip_classifier.GzipClassifier,True,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
173,d4c2734c1ecb3772a9287ae074e53180,train,deckard.base.experiment.Experiment,d4c2734c1ecb3772a9287ae074e53180,sms_spam,cpu,d4c2734c1ecb3772a9287ae074e53180,d4c2734c1ecb3772a9287ae074e53180,GzipClassifier,d4c2734c1ecb3772a9287ae074e53180,d4c2734c1ecb3772a9287ae074e53180,154.956352491,0.154956352491,1708477163.335704,1708477309.7108202,cpu,8.845239754,0.008845239754,1708477309.7111676,1708477318.4410398,cpu,0.87,4.49004093170166,sms_spam/reports/train/d4c2734c1ecb3772a9287ae074e53180/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.files.FileConfig,sms_spam,d4c2734c1ecb3772a9287ae074e53180,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,3,10,KNN,Levenshtein,gzip_classifier.GzipClassifier,False,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
174,d5c6f779017aac7a11668dab9fc2916b,train,deckard.base.experiment.Experiment,d5c6f779017aac7a11668dab9fc2916b,sms_spam,cpu,d5c6f779017aac7a11668dab9fc2916b,d5c6f779017aac7a11668dab9fc2916b,GzipClassifier,d5c6f779017aac7a11668dab9fc2916b,d5c6f779017aac7a11668dab9fc2916b,156.780927732,0.156780927732,1708478000.8496575,1708478153.8888466,cpu,88.464291282,0.088464291282,1708478153.889062,1708478238.6048958,cpu,0.75,8.63469409942627,sms_spam/reports/train/d5c6f779017aac7a11668dab9fc2916b/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.files.FileConfig,sms_spam,d5c6f779017aac7a11668dab9fc2916b,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,3,500,Sum,Jaro,gzip_classifier.GzipClassifier,False,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
175,d5cd31d7763ffd53aedb3433dbba74c8,train,deckard.base.experiment.Experiment,d5cd31d7763ffd53aedb3433dbba74c8,sms_spam,cpu,d5cd31d7763ffd53aedb3433dbba74c8,d5cd31d7763ffd53aedb3433dbba74c8,GzipClassifier,d5cd31d7763ffd53aedb3433dbba74c8,d5cd31d7763ffd53aedb3433dbba74c8,150.036382124,0.150036382124,1708475036.9120607,1708475178.0939326,cpu,26.057518794,0.026057518794,1708475012.1589842,1708475036.06709,cpu,0.85,5.180816459236603,sms_spam/reports/train/d5cd31d7763ffd53aedb3433dbba74c8/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.files.FileConfig,sms_spam,d5cd31d7763ffd53aedb3433dbba74c8,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,1,100,Random,Hamming,gzip_classifier.GzipClassifier,False,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
176,d6ac0b830c86d154955504cae9786eef,train,deckard.base.experiment.Experiment,d6ac0b830c86d154955504cae9786eef,sms_spam,cpu,d6ac0b830c86d154955504cae9786eef,d6ac0b830c86d154955504cae9786eef,GzipClassifier,d6ac0b830c86d154955504cae9786eef,d6ac0b830c86d154955504cae9786eef,157.404853012,0.157404853012,1708478000.896554,1708478153.6871572,cpu,24.30696795,0.02430696795,1708478153.687274,1708478175.980116,cpu,0.67,11.397796211242676,sms_spam/reports/train/d6ac0b830c86d154955504cae9786eef/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.files.FileConfig,sms_spam,d6ac0b830c86d154955504cae9786eef,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,5,200,SVC,Hamming,gzip_classifier.GzipClassifier,False,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
177,d7994a91ac21644866c5e93799b18ed0,train,deckard.base.experiment.Experiment,d7994a91ac21644866c5e93799b18ed0,sms_spam,cpu,d7994a91ac21644866c5e93799b18ed0,d7994a91ac21644866c5e93799b18ed0,GzipClassifier,d7994a91ac21644866c5e93799b18ed0,d7994a91ac21644866c5e93799b18ed0,108.19580792,0.10819580792,1708478000.8425505,1708478102.357242,cpu,8.268590629,0.008268590629,1708478102.3576925,1708478115.0610857,cpu,0.75,8.63469409942627,sms_spam/reports/train/d7994a91ac21644866c5e93799b18ed0/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.files.FileConfig,sms_spam,d7994a91ac21644866c5e93799b18ed0,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,1,10,SVC,Hamming,gzip_classifier.GzipClassifier,True,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
179,dbf47b6f9bd947ad99860e474c3907ec,train,deckard.base.experiment.Experiment,dbf47b6f9bd947ad99860e474c3907ec,sms_spam,cpu,dbf47b6f9bd947ad99860e474c3907ec,dbf47b6f9bd947ad99860e474c3907ec,GzipClassifier,dbf47b6f9bd947ad99860e474c3907ec,dbf47b6f9bd947ad99860e474c3907ec,156.467065396,0.156467065396,1708477004.3128548,1708477152.079673,cpu,11.347221947,0.011347221947,1708477152.080413,1708477162.9680753,cpu,0.87,4.49004093170166,sms_spam/reports/train/dbf47b6f9bd947ad99860e474c3907ec/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.files.FileConfig,sms_spam,dbf47b6f9bd947ad99860e474c3907ec,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,7,20,SVC,Ratio,gzip_classifier.GzipClassifier,False,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
180,de2c8fc4882501cc223bbb315e09b23f,train,deckard.base.experiment.Experiment,de2c8fc4882501cc223bbb315e09b23f,sms_spam,cpu,de2c8fc4882501cc223bbb315e09b23f,de2c8fc4882501cc223bbb315e09b23f,GzipClassifier,de2c8fc4882501cc223bbb315e09b23f,de2c8fc4882501cc223bbb315e09b23f,157.832039677,0.157832039677,1708478000.875623,1708478154.1944077,cpu,10.672322141,0.010672322141,1708478154.194593,1708478164.3085136,cpu,0.85,5.1808164596557615,sms_spam/reports/train/de2c8fc4882501cc223bbb315e09b23f/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.files.FileConfig,sms_spam,de2c8fc4882501cc223bbb315e09b23f,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,7,20,Random,Hamming,gzip_classifier.GzipClassifier,False,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
181,e0918da06e879da1d0d8d1cd94d79b18,train,deckard.base.experiment.Experiment,e0918da06e879da1d0d8d1cd94d79b18,sms_spam,cpu,e0918da06e879da1d0d8d1cd94d79b18,e0918da06e879da1d0d8d1cd94d79b18,GzipClassifier,e0918da06e879da1d0d8d1cd94d79b18,e0918da06e879da1d0d8d1cd94d79b18,159.104538961,0.159104538961,1708478122.8461828,1708478275.8971918,cpu,8.960292049,0.008960292049,1708478275.897287,1708478284.430302,cpu,0.87,4.49004093170166,sms_spam/reports/train/e0918da06e879da1d0d8d1cd94d79b18/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.files.FileConfig,sms_spam,e0918da06e879da1d0d8d1cd94d79b18,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,7,20,Medoid,Ratio,gzip_classifier.GzipClassifier,False,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
182,e14aac909899441e48b6c81dd24090fa,train,deckard.base.experiment.Experiment,e14aac909899441e48b6c81dd24090fa,sms_spam,cpu,e14aac909899441e48b6c81dd24090fa,e14aac909899441e48b6c81dd24090fa,GzipClassifier,e14aac909899441e48b6c81dd24090fa,e14aac909899441e48b6c81dd24090fa,124.559106309,0.124559106309,1708475665.0939193,1708475782.0990405,cpu,24.546721381,0.024546721381,1708475782.099342,1708475805.8878827,cpu,0.87,4.49004093170166,sms_spam/reports/train/e14aac909899441e48b6c81dd24090fa/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.files.FileConfig,sms_spam,e14aac909899441e48b6c81dd24090fa,predictions.json,reports,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,1000,deckard.base.model.ModelInitializer,Gzip,,5,20,KNN,Jaro,gzip_classifier.GzipClassifier,True,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipClassifier
